DATE,SAVINGS,JG AIB LOAN,AG AIB LOAN,Chill Visa,AG AIB VISA,Mortgage
20-Jun-16,,16806.51,29951.12,6522,1983.7,323533.14
20-Jul-16,,16348.24,29312.15,6522,1983.7,322569.38
20-Aug-16,,19098.72,28687.36,6648.32,1976.67,321614.44
21-Sep-16,,19107.31,28710.59,6573.77,2188.68,320658.57
21-Oct-16,,18708.85,29833.21,6765.03,1862.37,319692.22
21-Nov-16,,18310.39,29209.53,6683.06,2175.54,318734.6
21-Dec-16,,22062.01,29220.29,6608.88,2277.71,317766.44
21-Jan-17,,21609.77,28596.61,6537.26,2287.66,316755.69
21-Feb-17,,21157.53,27972.93,6452.04,1945.35,315795.79
21-Mar-17,,26690,27960.06,6399.48,1935.93,314806.45
21-Apr-17,,26690,29568.29,6640.92,2265.71,313855.72
21-May-17,,26131.94,29568.29,6570.06,1355.89,312872.64
21-Jun-17,,26141.7,29579.26,6397.86,2454.76,311909.07
21-Jul-17,,25583.64,28958.91,6533.74,1974.95,310935.24
30-Aug-17,,26840.66,29902.48,6413.89,2257.53,309969.9
21-Sep-17,,26853.71,30543.56,6316.44,2055.24,309003.58
21-Nov-17,,25733.41,29289.52,6658.61,2666.38,307060.63
21-Dec-17,,27279.64,29307.96,6613.98,3037.75,306082.42
21-Jan-18,,27279.64,28680.94,6483.38,2954.7,305085.94
21-Feb-18,,26720.25,28053.92,6373.67,3059.56,304115.13
21-Mar-18,,26735.27,28039.81,6290.8,3061.31,303115.96
21-Apr-18,,26175.88,29172.85,6246.83,2852.72,302143.35
21-May-18,,25616.49,28563,6153.25,3091.02,301160.72
21-Jun-18,,25622.5,28579.63,6545.78,3425.58,300186.32
21-Jul-18,,28063.11,27969.78,6356.32,3532.15,299201.93
08-Aug-18,,26099.59,25467.44,6257.95,3320.2,299201.93
21-Aug-18,,26099.59,25343.97,6257.95,1920.85,298225.66
21-Sep-18,,26071.65,27936.24,6167.76,3327.9,297248.47
21-Oct-18,,25485.28,27363.12,6645.95,3707.45,296261.42
21-Nov-18,,24898.91,28863.12,6570.56,3456.49,295282.37
21-Dec-18,,24857.28,28868.1,6462.43,3830.2,294295.41
21-Jan-19,,25470.91,28265.13,6354.63,4061.31,293290.65
21-Feb-19,,25470.91,27662.16,6267.05,3657.94,292308.89
21-Mar-19,,25473.72,27670.32,6709.97,3892.99,291299.87
23-Apr-19,,24931.14,27067.35,6623.95,4232.1,290316.33
21-May-19,,24389.1,26464.38,6482.53,4047.18,289323.04
21-Jun-19,,24905.67,26446.13,6411.91,3567.19,288337.65
21-Jul-19,,24905.67,25843.16,9863.46,0,287342.66
21-Aug-19,,24042.18,24869.15,10233.46,,286355.38
21-Sep-19,,24047.07,28944.41,10089.23,,285367.21
21-Oct-19,,23525.87,28340,10234.12,,284369.53
21-Nov-19,,23004.67,27737.01,10656.55,,283379.43
02-Jan-20,,25572.89,27745.64,13723.05,,282379.96
21-Jan-20,,25572.89,29245.64,14255.26,,281367.19
21-Feb-20,,25030.18,28634.09,15398.64,,280373.8
21-Mar-20,,25034.46,28511,15224.61,,279362.63
21-Apr-20,,24491.75,27899.45,15274.79,,278367.37
21-May-20,,23949.04,27287.9,15051.64,,277362.82
21-Jun-20,,23946.65,27299.16,14317.08,,276365.69
21-Jul-20,,23403.94,26687.61,14142.15,,275359.3
21-Aug-20,,22861.23,26076.06,14098.52,,274360.31
21-Sep-20,,22822.87,26046.8,13946.52,,273360.38
21-Oct-20,,22280.16,25435.25,13828.84,,272351.24
21-Nov-20,,21737.45,24823.7,13997.24,,271349.44
21-Dec-20,,21669.69,24761.11,13862.65,,270338.56
21-Jan-21,,21126.98,24149.56,13732.44,,269316.37
21-Feb-21,,20584.27,23538.01,13606.68,,268312.22
21-Mar-21,29702.68,20487.02,23442.69,13454.55,,267283.5
21-Apr-21,30002.68,19944.31,22831.14,11030,,266277.73
21-May-21,33002.68,19401.6,22219.59,10650.37,,265263.05
21-Jun-21,31002.68,19288.71,22106.4,10300.37,,264255.44
21-Jul-21,30002.68,18746,21494.85,9800.37,,263238.84
21-Aug-21,29002.68,18203.29,20883.3,9500.37,,262229.34
21-Sep-21,30002.68,18063.76,20740.68,9150.37,,261218.9
21-Oct-21,29002.68,17521.05,20129.13,9669.67,,260199.64
21-Nov-21,22002.68,16978.34,19517.58,9528.09,,259187.3
21-Dec-21,24000.00,16807.82,19340.85,9186.2,,258166.16
21-Jan-22,24000.00,16265.11,18729.3,9167.72,,257151.92
21-Feb-22,23500.00,15722.4,18117.75,9097.23,,256136.61
21-Mar-22,,,,,,
21-Apr-22,,,,,,
21-May-22,,,,,,
21-Jun-22,,,,,,
