Réserve de Bonpas Côtes Du Rhône;2020, France, Rhône;€15.45;3.6
Rinforzo;2019, Italy, Puglia;€21.95;3.6
Conde Valdemar Gran Reserva;2012, Spain, Rioja;€33.45;4.2
Château la Claymore;2018/19, France, Bordeaux;€16.95;3.7
Júlia Florista Tinto;NV, Portugal, Lisboa;€9.95;3.8
Marqués de Riscal Reserva;2017, Spain, Rioja;€23.95;4.0
Tandem Ars in Vitro;2018, Spain, Navarra;€10.95;3.5
Famille JM Cazes Côtes du Rhône Réserve;2020, France, Rhône;€13.95;3.6
Laurent Miquel Heritage Vineyards Syrah;2020, France, Languedoc-Roussillon;€14.95;3.4
Wildflower Pinot Noir;2020, Romania;€13.95;3.7
Norton Porteño Malbec Limited Edition;2020, Argentina, Mendoza;€10.95;3.6
Protocolo Tinto;2019, Spain, Castile–La Mancha;€10.00;3.5
Tajapiera Amarone;2018, Italy, Amarone della Valpolicella DOCG;€22.46;4.2
Carta Roja Gran Reserva;2015, Spain, Jumilla;€10.00;3.5
Wildflower Shiraz;2020, Romania;€9.00;3.6
Giacondi Rosso;NV, Italy;€8.00;3.4
Monte Real Tempranillo;2020, Spain, Rioja;€14.95;3.4
Masi Campofiorin;2018, Italy, Veneto;€19.95;3.7
Península das Vinhas Tinto;2020, Portugal, Setúbal;€13.95;3.8
Los Coches Cabernet Sauvignon;2021, Chile, Central Valley;€9.95;3.4
Luzón Colección Crianza;2018, Spain, Jumilla;€11.96;3.7
Longview LV Shiraz-Cabernet;2018, Australia;€14.21;3.8
Rizzardi Pojega Ripasso;2019, Italy, Valpolicella;€16.95;3.8
Las Invernadas Malbec;2019, Argentina, Tulum Valley;€10.00;3.4
Volpetto Chianti Riserva;2018, Italy, Chianti;€19.95;3.4
Château de Girard Cuvée Arthur;2017/18, France, Languedoc-Roussillon;€12.95;3.8
Lastarria Reserva Malbec;2019, Chile, Colchagua Valley;€12.95;3.7
Bodegas Caro Amancaya;2018, Argentina, Mendoza;€20.95;4.0
Gérard Bertrand Château Remaury;2020, France, Languedoc-Roussillon;€14.95;—
Monte Real Rioja Reserva;2017, Spain, Rioja;€21.95;3.8
Porta 6;2020, Portugal, Lisboa;€12.95;3.8
Luna Argenta;2020, Italy, Puglia;€18.95;4.1
Château Sainte-Marie Réserve;2019, France, Bordeaux;€15.95;3.4
Bodegas Caro Aruma;2019/2020, Argentina, Mendoza;€14.95;3.7
Château Grimont Cadillac Côtes De Bordeaux;2018/19, France, Bordeaux;€16.95;3.5
La Croix des Mariniers;2020, France, Rhône;€14.95;3.7
Bodegas Riojanas Borisa Rioja Reserva;2017, Spain, Rioja;€23.95;—
Marqués de Cáceres Reserva;2016, Spain, Rioja;€23.95;3.9
Château Fondarzac;2018, France, Bordeaux;€17.95;3.7
Viña Chocalán Reserva Merlot;2020, Chile, Maipo Valley;€11.21;3.6
DADÁ 1 Vanilla;2021, Argentina, Mendoza;€10.95;3.6
Emiliana Novas Syrah-Mourvèdre Gran Reserva;2017/18, Chile, Cachapoal Valley;€16.95;3.7
Borie de Maurel la Féline;2019, France, Languedoc-Roussillon;€17.95;3.9
Porta Nova Ripasso;2019, Italy, Valpolicella;€20.45;3.9
Château d'Arcole Saint-Émillion Grand Cru;2018, France, Bordeaux;€33.95;4.2
Chanson Fleurie;2020, France, Beaujolais;€16.95;3.5
Tandem Ars Nova;2015, Spain, Navarra;€13.95;3.7
Bellow's Rock Shiraz;2019, South Africa, Coastal Region;€15.45;3.6
Integro Negroamaro Puglia IGP;2020, Italy, Puglia;€16.95;3.9
Domaine Naturaliste Cabernet Sauvignon;2018, Australia;€19.95;3.8
Delheim Cabernet Sauvignon Shiraz;2018/19, South Africa, Stellenbosch ;€11.96;3.5
Asio Otus;NV, Italy, Puglia;€15.95;3.8
Duorum Colheita;2019, Portugal, Douro Valley;€16.45;—
JP Ramos Reserva;2019, Portugal, Alentejo;€15.45;3.6
Meerlust Rubicon;2017, South Africa, Stellenbosch ;€41.95;4.3
Mt Difficulty Bannockburn Pinot Noir;2018, New Zealand, Central Otago;€35.95;4.1
Emiliana Coyam Organic;2019, Chile, Maipo Valley;€25.95;—
Los Coches Syrah;2020, Chile, Central Valley;€9.95;3.5
Blason du Rhône Châteauneuf-du-Pape;2019, France, Rhône;€34.45;4.0
Torbreck Woodcutters Shiraz;2020, Australia;€26.45;3.9
Romeo & Juliet Passione Passimento Red;2019, Italy, Veneto;€17.95;3.9
Château de Caraguilhes Prestige;2020, France, Languedoc-Roussillon;€18.95;3.5
Torres Altos Ibéricos Crianza;2017, Spain, Rioja;€14.21;3.7
Poggio Chianti Superiore;2018, Italy, Toscana;€14.45;—
Campo Viejo Tempranillo;2019, Spain, Rioja;€12.95;3.6
Marqués de Murrieta Rioja Reserva;2016/17, Spain, Rioja;€27.95;3.9
Musella Amarone Riserva;2015, Italy, Veneto;€52.00;4.4
Murphy Goode Cabernet Sauvignon;2018/19, USA;€22.95;3.7
Brunello di Montalcino Val di Suga;2015, Italy, Toscana;€39.95;4.0
Delheim Pinotage;2018, South Africa, Stellenbosch ;€17.95;3.3
Ripasso Tommasi;2018, Italy, Veneto;€22.95;—
Henri Bourgeois Petit Bourgeois Cabernet Franc;2019, France, Loire Valley;€16.95;3.5
Luzón Finca La Solana;2020, Spain, Jumilla;€13.45;3.8
Château de Fleurie;2020, France, Beaujolais;€19.45;3.7
Torbreck Old Vines GMS;2018, Australia;€22.95;3.9
Norton Barrel Select Malbec;2020/21, Argentina, Mendoza;€14.95;3.7
d'Arenberg The Dead Arm Shiraz;2017, Australia;€54.95;4.2
Guigal Cotes Du Rhone Rouge;2017, France, Rhône;€16.95;3.7
Domaine Olivier Santenay Temps des C(e)rises;2018, France, Burgundy;€32.95;3.9
Torres Celeste Crianza;2018, Spain, Ribera Del Duero DO;€21.95;3.9
Les Hauts de Lynch-Moussas 2016;2016, France, Bordeaux;€32.95;3.8
Château Kirwan 2017;2017, France, Bordeaux;€73.00;3.7
Château Clarke B. de Rothschild;2012, France, Bordeaux;€36.95;3.4
Vincent Juliénas La Conseillère;2017, France, Beaujolais;€21.95;3.8
Rust en Vrede Cabernet Sauvignon;2019, South Africa, Stellenbosch ;€31.95;4.2
Emilio Moro;2018, Spain, Ribera Del Duero DO;€25.95;4.0
Chanson Beaujolais Villages;2020, France, Burgundy;€14.95;3.5
